%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1555359063087227116,22596,1555359063087227116,world,-2.90651321411,-0.818184375763,0.797078609467,-0.720130801201,0.0930860191584,-0.257821708918,0.637396752834
1555359063097576062,22597,1555359063097576062,world,-2.90653610229,-0.818066596985,0.797162294388,-0.719851911068,0.0911573395133,-0.258599817753,0.637675285339
1555359063107033595,22598,1555359063107033595,world,-2.90635299683,-0.818104028702,0.797123432159,-0.7198818326,0.0924116745591,-0.259621798992,0.637045443058
1555359063107087449,22599,1555359063107087449,world,-2.90629577637,-0.818048477173,0.797074079514,-0.719859421253,0.092415548861,-0.25943121314,0.637147784233
1555359063117446877,22600,1555359063117446877,world,-2.90625286102,-0.818044424057,0.796954393387,-0.719909846783,0.092852525413,-0.259877771139,0.636845171452
1555359063117491494,22601,1555359063117491494,world,-2.906291008,-0.818007469177,0.796985626221,-0.719837367535,0.0925063118339,-0.259435474873,0.637157678604
1555359063126791770,22602,1555359063126791770,world,-2.90643215179,-0.818050861359,0.797134160995,-0.719742417336,0.0914084464312,-0.259310275316,0.637474477291
1555359063137143635,22603,1555359063137143635,world,-2.90650844574,-0.818072319031,0.797225952148,-0.719705939293,0.0910046473145,-0.259292900562,0.63758033514
1555359063147531413,22604,1555359063147531413,world,-2.9067401886,-0.818149328232,0.79723072052,-0.719879329205,0.0911796241999,-0.257631182671,0.638033211231
1555359063156974538,22605,1555359063156974538,world,-2.90641212463,-0.818090200424,0.797003507614,-0.719858586788,0.0923476740718,-0.258876055479,0.637384355068
1555359063167410735,22606,1555359063167410735,world,-2.90628623962,-0.818082094193,0.79692864418,-0.719858825207,0.0929305180907,-0.259531229734,0.637032806873
1555359063176731974,22607,1555359063176731974,world,-2.90652751923,-0.818159103394,0.797080278397,-0.720051229,0.0930947810411,-0.257437229156,0.63764077425
1555359063187131647,22608,1555359063187131647,world,-2.90660381317,-0.818185567856,0.797187328339,-0.7202231884,0.0929837450385,-0.25689420104,0.63768184185
